Usuario,Partido,Predicción,Resultado Real,Puntos
JIMMYLARA,América vs San Luis,3-1,3-0,1
JIMMYLARA,Tijuana vs Cruz Azul,1-1,2-1,0
JIMMYLARA,Monterrey vs Juárez,3-0,6-1,1
JIMMYLARA,Necaxa vs León,2-1,1-2,0
JIMMYLARA,Pachuca vs Puebla,2-0,2-3,0
JIMMYLARA,Pumas vs Querétaro,2-0,0-0,0
JIMMYLARA,Santos vs Guadalajara,1-2,0-1,1
Juan Pablo,Atlante vs Toluca,2-1,0-0,0
Juan Pablo,Atlas vs Tigres,1-1,2-1,0
Juan Pablo,América vs San Luis,2-2,3-0,0
Juan Pablo,Tijuana vs Cruz Azul,2-1,2-1,2
Juan Pablo,Monterrey vs Juárez,2-1,6-1,1
Juan Pablo,Necaxa vs León,3-1,1-2,0
Juan Pablo,Pachuca vs Puebla,1-2,2-3,1
Juan Pablo,Pumas vs Querétaro,2-1,0-0,0
Juan Pablo,Santos vs Guadalajara,0-2,0-1,1
Juan Ramon Galvan,Atlante vs Toluca,1-2,0-0,0
Juan Ramon Galvan,Atlas vs Tigres,1-1,2-1,0
Juan Ramon Galvan,América vs San Luis,2-0,3-0,1
Juan Ramon Galvan,Tijuana vs Cruz Azul,1-1,2-1,0
Juan Ramon Galvan,Monterrey vs Juárez,2-0,6-1,1
Juan Ramon Galvan,Necaxa vs León,1-1,1-2,0
Juan Ramon Galvan,Pachuca vs Puebla,2-0,2-3,0
Juan Ramon Galvan,Pumas vs Querétaro,2-1,0-0,0
Juan Ramon Galvan,Santos vs Guadalajara,1-2,0-1,1
Yankee,Atlante vs Toluca,1-2,0-0,0
Yankee,Atlas vs Tigres,2-2,2-1,0
Yankee,América vs San Luis,2-0,3-0,1
Yankee,Tijuana vs Cruz Azul,1-3,2-1,0
Yankee,Monterrey vs Juárez,2-1,6-1,1
Yankee,Necaxa vs León,2-1,1-2,0
Yankee,Pachuca vs Puebla,2-0,2-3,0
Yankee,Pumas vs Querétaro,3-1,0-0,0
Yankee,Santos vs Guadalajara,1-2,0-1,1
