Usuario,Partido,Predicción,Resultado Real,Puntos
Adrián,Atlas vs Pumas,2-1,1-1,0
Adrián,San Luis vs Necaxa,1-3,3-1,0
Adrián,América vs Guadalajara,2-2,2-2,2
Adrián,Juárez vs Tigres,1-3,2-0,0
Adrián,Monterrey vs Cruz Azul,2-1,1-0,1
Adrián,Pachuca vs Tijuana,1-2,2-2,0
Adrián,Puebla vs Atlante,2-1,1-1,0
Adrián,Querétaro vs León,2-1,1-1,0
Adrián,Toluca vs Santos,3-0,2-3,0
Aldo,Atlas vs Pumas,1-1,1-1,2
Aldo,San Luis vs Necaxa,2-1,3-1,1
Aldo,América vs Guadalajara,1-1,2-2,1
Aldo,Juárez vs Tigres,0-2,2-0,0
Aldo,Monterrey vs Cruz Azul,1-2,1-0,0
Aldo,Pachuca vs Tijuana,2-1,2-2,0
Aldo,Puebla vs Atlante,2-1,1-1,0
Aldo,Querétaro vs León,2-1,1-1,0
Aldo,Toluca vs Santos,2-0,2-3,0
Alex villa,Atlas vs Pumas,2-2,1-1,1
Alex villa,San Luis vs Necaxa,2-1,3-1,1
Alex villa,América vs Guadalajara,3-2,2-2,0
Alex villa,Juárez vs Tigres,1-2,2-0,0
Alex villa,Monterrey vs Cruz Azul,1-1,1-0,0
Alex villa,Pachuca vs Tijuana,2-1,2-2,0
Alex villa,Puebla vs Atlante,2-1,1-1,0
Alex villa,Querétaro vs León,2-1,1-1,0
Alex villa,Toluca vs Santos,5-1,2-3,0
Andrey,Atlas vs Pumas,1-1,1-1,2
Andrey,San Luis vs Necaxa,1-1,3-1,0
Andrey,América vs Guadalajara,1-2,2-2,0
Andrey,Monterrey vs Cruz Azul,1-2,1-0,0
Andrey,Pachuca vs Tijuana,2-2,2-2,2
Andrey,Querétaro vs León,0-0,1-1,1
Andrey,Toluca vs Santos,2-0,2-3,0
Arturo,Atlas vs Pumas,1-1,1-1,2
Arturo,San Luis vs Necaxa,1-1,3-1,0
Arturo,América vs Guadalajara,2-1,2-2,0
Arturo,Juárez vs Tigres,2-1,2-0,1
Arturo,Monterrey vs Cruz Azul,1-2,1-0,0
Arturo,Pachuca vs Tijuana,3-1,2-2,0
Arturo,Puebla vs Atlante,2-2,1-1,1
Arturo,Querétaro vs León,2-2,1-1,1
Arturo,Toluca vs Santos,4-1,2-3,0
Bryan 2,Atlas vs Pumas,2-1,1-1,0
Bryan 2,San Luis vs Necaxa,1-1,3-1,0
Bryan 2,América vs Guadalajara,1-2,2-2,0
Bryan 2,Juárez vs Tigres,1-2,2-0,0
Bryan 2,Monterrey vs Cruz Azul,1-2,1-0,0
Bryan 2,Pachuca vs Tijuana,1-0,2-2,0
Bryan 2,Puebla vs Atlante,1-0,1-1,0
Bryan 2,Querétaro vs León,1-2,1-1,0
Bryan 2,Toluca vs Santos,1-0,2-3,0
Bryan Montiel,Atlas vs Pumas,1-3,1-1,0
Bryan Montiel,San Luis vs Necaxa,1-0,3-1,1
Bryan Montiel,América vs Guadalajara,2-1,2-2,0
Bryan Montiel,Juárez vs Tigres,0-2,2-0,0
Bryan Montiel,Monterrey vs Cruz Azul,1-1,1-0,0
Bryan Montiel,Pachuca vs Tijuana,1-0,2-2,0
Bryan Montiel,Puebla vs Atlante,1-1,1-1,2
Bryan Montiel,Querétaro vs León,0-1,1-1,0
Bryan Montiel,Toluca vs Santos,2-0,2-3,0
Claudio,Atlas vs Pumas,2-1,1-1,0
Claudio,San Luis vs Necaxa,2-1,3-1,1
Claudio,América vs Guadalajara,1-0,2-2,0
Claudio,Juárez vs Tigres,1-2,2-0,0
Claudio,Monterrey vs Cruz Azul,1-2,1-0,0
Claudio,Pachuca vs Tijuana,1-0,2-2,0
Claudio,Puebla vs Atlante,1-0,1-1,0
Claudio,Querétaro vs León,1-0,1-1,0
Claudio,Toluca vs Santos,2-0,2-3,0
El inquisidor de Excel,Atlas vs Pumas,2-1,1-1,0
El inquisidor de Excel,San Luis vs Necaxa,1-1,3-1,0
El inquisidor de Excel,América vs Guadalajara,1-2,2-2,0
El inquisidor de Excel,Juárez vs Tigres,1-2,2-0,0
El inquisidor de Excel,Monterrey vs Cruz Azul,1-1,1-0,0
El inquisidor de Excel,Pachuca vs Tijuana,2-0,2-2,0
El inquisidor de Excel,Puebla vs Atlante,1-1,1-1,2
El inquisidor de Excel,Querétaro vs León,1-0,1-1,0
El inquisidor de Excel,Toluca vs Santos,2-0,2-3,0
Erika,Atlas vs Pumas,1-1,1-1,2
Erika,San Luis vs Necaxa,2-1,3-1,1
Erika,América vs Guadalajara,1-2,2-2,0
Erika,Juárez vs Tigres,1-2,2-0,0
Erika,Monterrey vs Cruz Azul,1-2,1-0,0
Erika,Pachuca vs Tijuana,2-1,2-2,0
Erika,Puebla vs Atlante,2-1,1-1,0
Erika,Querétaro vs León,2-1,1-1,0
Erika,Toluca vs Santos,2-1,2-3,0
Geovanni,Atlas vs Pumas,1-0,1-1,0
Geovanni,San Luis vs Necaxa,2-1,3-1,1
Geovanni,América vs Guadalajara,1-1,2-2,1
Geovanni,Juárez vs Tigres,0-2,2-0,0
Geovanni,Monterrey vs Cruz Azul,1-2,1-0,0
Geovanni,Pachuca vs Tijuana,2-1,2-2,0
Geovanni,Puebla vs Atlante,2-1,1-1,0
Geovanni,Querétaro vs León,1-2,1-1,0
Geovanni,Toluca vs Santos,3-0,2-3,0
Juan Pablo,Atlas vs Pumas,2-1,1-1,0
Juan Pablo,San Luis vs Necaxa,2-0,3-1,1
Juan Pablo,América vs Guadalajara,1-3,2-2,0
Juan Pablo,Monterrey vs Cruz Azul,1-3,1-0,0
Juan Pablo,Pachuca vs Tijuana,2-1,2-2,0
Juan Pablo,Querétaro vs León,2-0,1-1,0
Juan Pablo,Toluca vs Santos,3-0,2-3,0
Juan Ramon Galvan,Atlas vs Pumas,1-1,1-1,2
Juan Ramon Galvan,San Luis vs Necaxa,1-1,3-1,0
Juan Ramon Galvan,América vs Guadalajara,2-1,2-2,0
Juan Ramon Galvan,Juárez vs Tigres,0-2,2-0,0
Juan Ramon Galvan,Monterrey vs Cruz Azul,2-1,1-0,1
Juan Ramon Galvan,Pachuca vs Tijuana,2-0,2-2,0
Juan Ramon Galvan,Puebla vs Atlante,2-1,1-1,0
Juan Ramon Galvan,Querétaro vs León,1-2,1-1,0
Juan Ramon Galvan,Toluca vs Santos,2-0,2-3,0
Yankee,Atlas vs Pumas,2-2,1-1,1
Yankee,San Luis vs Necaxa,1-2,3-1,0
Yankee,América vs Guadalajara,1-2,2-2,0
Yankee,Juárez vs Tigres,1-2,2-0,0
Yankee,Monterrey vs Cruz Azul,2-1,1-0,1
Yankee,Puebla vs Atlante,1-1,1-1,2
Yankee,Querétaro vs León,1-1,1-1,2
