Usuario,Partido,Predicción,Resultado Real,Puntos
Adrián,Atlas vs Atlante,2-1,1-1,0
Adrián,San Luis vs Guadalajara,2-1,0-3,0
Adrián,América vs Tijuana,2-2,Pendiente,-
Adrián,Cruz Azul vs Santos,3-0,1-0,1
Adrián,Juárez vs Pachuca,2-1,0-2,0
Adrián,Querétaro vs Monterrey,1-3,Pendiente,-
Adrián,Tigres vs Necaxa,1-1,1-1,2
Aldo,Atlas vs Atlante,2-1,1-1,0
Aldo,San Luis vs Guadalajara,1-2,0-3,1
Aldo,América vs Tijuana,2-1,Pendiente,-
Aldo,Cruz Azul vs Santos,2-0,1-0,1
Aldo,Juárez vs Pachuca,1-2,0-2,1
Aldo,Puebla vs Toluca,1-2,Pendiente,-
Aldo,Pumas vs León,2-1,3-1,1
Aldo,Querétaro vs Monterrey,1-2,Pendiente,-
Aldo,Tigres vs Necaxa,2-1,1-1,0
Alex villa,Atlas vs Atlante,3-1,1-1,0
Alex villa,San Luis vs Guadalajara,1-2,0-3,1
Alex villa,América vs Tijuana,3-2,Pendiente,-
Alex villa,Cruz Azul vs Santos,3-2,1-0,1
Alex villa,Juárez vs Pachuca,2-1,0-2,0
Alex villa,Puebla vs Toluca,1-3,Pendiente,-
Alex villa,Pumas vs León,2-2,3-1,0
Alex villa,Querétaro vs Monterrey,2-3,Pendiente,-
Alex villa,Tigres vs Necaxa,3-2,1-1,0
Andrey,Atlas vs Atlante,1-0,1-1,0
Andrey,San Luis vs Guadalajara,1-2,0-3,1
Andrey,América vs Tijuana,2-1,Pendiente,-
Andrey,Cruz Azul vs Santos,2-0,1-0,1
Andrey,Juárez vs Pachuca,0-1,0-2,1
Andrey,Puebla vs Toluca,1-2,Pendiente,-
Andrey,Pumas vs León,1-1,3-1,0
Andrey,Querétaro vs Monterrey,1-0,Pendiente,-
Andrey,Tigres vs Necaxa,1-1,1-1,2
Arturo,Atlas vs Atlante,2-1,1-1,0
Arturo,San Luis vs Guadalajara,0-2,0-3,1
Arturo,América vs Tijuana,2-1,Pendiente,-
Arturo,Cruz Azul vs Santos,3-0,1-0,1
Arturo,Juárez vs Pachuca,2-2,0-2,0
Arturo,Puebla vs Toluca,1-2,Pendiente,-
Arturo,Pumas vs León,1-1,3-1,0
Arturo,Querétaro vs Monterrey,2-1,Pendiente,-
Arturo,Tigres vs Necaxa,2-0,1-1,0
Bryan 2,Atlas vs Atlante,0-1,1-1,0
Bryan 2,San Luis vs Guadalajara,1-2,0-3,1
Bryan 2,América vs Tijuana,2-0,Pendiente,-
Bryan 2,Cruz Azul vs Santos,3-0,1-0,1
Bryan 2,Juárez vs Pachuca,0-2,0-2,2
Bryan 2,Puebla vs Toluca,0-2,Pendiente,-
Bryan 2,Pumas vs León,1-0,3-1,1
Bryan 2,Querétaro vs Monterrey,0-2,Pendiente,-
Bryan 2,Tigres vs Necaxa,2-0,1-1,0
Bryan Montiel,Atlas vs Atlante,1-2,1-1,0
Bryan Montiel,San Luis vs Guadalajara,1-1,0-3,0
Bryan Montiel,América vs Tijuana,2-1,Pendiente,-
Bryan Montiel,Cruz Azul vs Santos,2-0,1-0,1
Bryan Montiel,Juárez vs Pachuca,0-1,0-2,1
Bryan Montiel,Puebla vs Toluca,1-3,Pendiente,-
Bryan Montiel,Pumas vs León,2-1,3-1,1
Bryan Montiel,Querétaro vs Monterrey,0-2,Pendiente,-
Bryan Montiel,Tigres vs Necaxa,1-0,1-1,0
Claudio,Atlas vs Atlante,1-0,1-1,0
Claudio,San Luis vs Guadalajara,1-2,0-3,1
Claudio,América vs Tijuana,2-0,Pendiente,-
Claudio,Cruz Azul vs Santos,2-0,1-0,1
Claudio,Juárez vs Pachuca,1-2,0-2,1
Claudio,Puebla vs Toluca,0-2,Pendiente,-
Claudio,Pumas vs León,1-0,3-1,1
Claudio,Querétaro vs Monterrey,1-0,Pendiente,-
Claudio,Tigres vs Necaxa,2-0,1-1,0
El inquisidor de Excel,Atlas vs Atlante,2-1,1-1,0
El inquisidor de Excel,San Luis vs Guadalajara,1-2,0-3,1
El inquisidor de Excel,América vs Tijuana,2-1,Pendiente,-
El inquisidor de Excel,Cruz Azul vs Santos,2-0,1-0,1
El inquisidor de Excel,Juárez vs Pachuca,1-2,0-2,1
El inquisidor de Excel,Puebla vs Toluca,1-2,Pendiente,-
El inquisidor de Excel,Pumas vs León,1-0,3-1,1
El inquisidor de Excel,Querétaro vs Monterrey,1-2,Pendiente,-
El inquisidor de Excel,Tigres vs Necaxa,2-0,1-1,0
Erika,Atlas vs Atlante,1-1,1-1,2
Erika,San Luis vs Guadalajara,2-1,0-3,0
Erika,América vs Tijuana,2-1,Pendiente,-
Erika,Cruz Azul vs Santos,2-0,1-0,1
Erika,Juárez vs Pachuca,1-2,0-2,1
Erika,Puebla vs Toluca,1-2,Pendiente,-
Erika,Pumas vs León,1-1,3-1,0
Erika,Querétaro vs Monterrey,1-2,Pendiente,-
Erika,Tigres vs Necaxa,2-1,1-1,0
Innavoeg,San Luis vs Guadalajara,1-2,0-3,1
Innavoeg,Cruz Azul vs Santos,3-0,1-0,1
Innavoeg,Juárez vs Pachuca,1-2,0-2,1
Innavoeg,Puebla vs Toluca,1-3,Pendiente,-
Innavoeg,Pumas vs León,1-1,3-1,0
Innavoeg,Tigres vs Necaxa,2-1,1-1,0
Juan Pablo,Atlas vs Atlante,1-1,1-1,2
Juan Pablo,San Luis vs Guadalajara,0-2,0-3,1
Juan Pablo,América vs Tijuana,2-1,Pendiente,-
Juan Pablo,Cruz Azul vs Santos,2-0,1-0,1
Juan Pablo,Juárez vs Pachuca,1-0,0-2,0
Juan Pablo,Puebla vs Toluca,1-2,Pendiente,-
Juan Pablo,Pumas vs León,2-0,3-1,1
Juan Pablo,Querétaro vs Monterrey,2-3,Pendiente,-
Juan Pablo,Tigres vs Necaxa,2-0,1-1,0
Juan Ramon Galvan,Atlas vs Atlante,2-0,1-1,0
Juan Ramon Galvan,San Luis vs Guadalajara,2-1,0-3,0
Juan Ramon Galvan,América vs Tijuana,2-0,Pendiente,-
Juan Ramon Galvan,Cruz Azul vs Santos,2-0,1-0,1
Juan Ramon Galvan,Juárez vs Pachuca,1-2,0-2,1
Juan Ramon Galvan,Puebla vs Toluca,1-2,Pendiente,-
Juan Ramon Galvan,Pumas vs León,2-1,3-1,1
Juan Ramon Galvan,Querétaro vs Monterrey,0-2,Pendiente,-
Juan Ramon Galvan,Tigres vs Necaxa,2-0,1-1,0
Yankee,Atlas vs Atlante,2-1,1-1,0
Yankee,San Luis vs Guadalajara,1-3,0-3,1
Yankee,América vs Tijuana,2-1,Pendiente,-
Yankee,Cruz Azul vs Santos,3-0,1-0,1
Yankee,Juárez vs Pachuca,2-1,0-2,0
Yankee,Puebla vs Toluca,1-2,Pendiente,-
Yankee,Pumas vs León,2-1,3-1,1
Yankee,Querétaro vs Monterrey,1-2,Pendiente,-
Yankee,Tigres vs Necaxa,3-1,1-1,0
