Usuario,Partido,Predicción,Resultado Real,Puntos
Adrián,Atlante vs Pachuca,2-1,0-3,0
Adrián,Tijuana vs Querétaro,3-1,0-1,0
Adrián,Cruz Azul vs América,1-2,4-3,0
Adrián,Guadalajara vs Pumas,2-2,3-0,0
Adrián,León vs San Luis,3-0,Pendiente,-
Adrián,Monterrey vs Tigres,2-1,0-0,0
Adrián,Necaxa vs Puebla,1-1,0-1,0
Adrián,Santos vs Juárez,2-1,2-1,2
Adrián,Toluca vs Atlas,3-2,5-1,1
Aldo,Atlante vs Pachuca,2-1,0-3,0
Aldo,Tijuana vs Querétaro,2-1,0-1,0
Aldo,Cruz Azul vs América,1-2,4-3,0
Aldo,Guadalajara vs Pumas,2-1,3-0,1
Aldo,León vs San Luis,2-1,Pendiente,-
Aldo,Monterrey vs Tigres,2-1,0-0,0
Aldo,Necaxa vs Puebla,2-1,0-1,0
Aldo,Santos vs Juárez,2-1,2-1,2
Aldo,Toluca vs Atlas,2-1,5-1,1
Alex villa,Atlante vs Pachuca,2-1,0-3,0
Alex villa,Tijuana vs Querétaro,2-1,0-1,0
Alex villa,Cruz Azul vs América,2-3,4-3,0
Alex villa,Guadalajara vs Pumas,3-2,3-0,1
Alex villa,León vs San Luis,3-1,Pendiente,-
Alex villa,Monterrey vs Tigres,3-2,0-0,0
Alex villa,Necaxa vs Puebla,3-2,0-1,0
Alex villa,Santos vs Juárez,2-2,2-1,0
Alex villa,Toluca vs Atlas,3-2,5-1,1
Andrey,Atlante vs Pachuca,1-2,0-3,1
Andrey,Tijuana vs Querétaro,1-1,0-1,0
Andrey,Cruz Azul vs América,1-1,4-3,0
Andrey,Guadalajara vs Pumas,2-1,3-0,1
Andrey,León vs San Luis,0-1,Pendiente,-
Andrey,Monterrey vs Tigres,1-1,0-0,1
Andrey,Santos vs Juárez,0-1,2-1,0
Andrey,Toluca vs Atlas,2-1,5-1,1
Arturo,Atlante vs Pachuca,1-2,0-3,1
Arturo,Tijuana vs Querétaro,2-1,0-1,0
Arturo,Cruz Azul vs América,1-2,4-3,0
Arturo,Guadalajara vs Pumas,2-0,3-0,1
Arturo,León vs San Luis,2-0,Pendiente,-
Arturo,Monterrey vs Tigres,2-0,0-0,0
Arturo,Necaxa vs Puebla,2-0,0-1,0
Arturo,Santos vs Juárez,2-1,2-1,2
Arturo,Toluca vs Atlas,4-1,5-1,1
Bryan 2,Atlante vs Pachuca,1-2,0-3,1
Bryan 2,Tijuana vs Querétaro,2-1,0-1,0
Bryan 2,Cruz Azul vs América,1-3,4-3,0
Bryan 2,Guadalajara vs Pumas,2-1,3-0,1
Bryan 2,León vs San Luis,2-1,Pendiente,-
Bryan 2,Monterrey vs Tigres,2-1,0-0,0
Bryan 2,Necaxa vs Puebla,2-0,0-1,0
Bryan 2,Santos vs Juárez,1-2,2-1,0
Bryan 2,Toluca vs Atlas,2-0,5-1,1
Bryan Montiel,Atlante vs Pachuca,1-2,0-3,1
Bryan Montiel,Tijuana vs Querétaro,2-0,0-1,0
Bryan Montiel,Cruz Azul vs América,1-3,4-3,0
Bryan Montiel,Guadalajara vs Pumas,2-1,3-0,1
Bryan Montiel,León vs San Luis,1-0,Pendiente,-
Bryan Montiel,Monterrey vs Tigres,2-2,0-0,1
Bryan Montiel,Necaxa vs Puebla,2-1,0-1,0
Bryan Montiel,Santos vs Juárez,1-1,2-1,0
Bryan Montiel,Toluca vs Atlas,1-0,5-1,1
Claudio,Atlante vs Pachuca,0-1,0-3,1
Claudio,Tijuana vs Querétaro,1-0,0-1,0
Claudio,Cruz Azul vs América,1-0,4-3,1
Claudio,Guadalajara vs Pumas,1-0,3-0,1
Claudio,León vs San Luis,2-1,Pendiente,-
Claudio,Monterrey vs Tigres,2-1,0-0,0
Claudio,Necaxa vs Puebla,2-1,0-1,0
Claudio,Santos vs Juárez,2-1,2-1,2
Claudio,Toluca vs Atlas,2-0,5-1,1
El inquisidor de Excel,Atlante vs Pachuca,2-1,0-3,0
El inquisidor de Excel,Tijuana vs Querétaro,2-1,0-1,0
El inquisidor de Excel,Cruz Azul vs América,2-1,4-3,1
El inquisidor de Excel,Guadalajara vs Pumas,2-1,3-0,1
El inquisidor de Excel,León vs San Luis,2-1,Pendiente,-
El inquisidor de Excel,Monterrey vs Tigres,2-1,0-0,0
El inquisidor de Excel,Necaxa vs Puebla,1-1,0-1,0
El inquisidor de Excel,Santos vs Juárez,1-1,2-1,0
El inquisidor de Excel,Toluca vs Atlas,2-1,5-1,1
Erika,Atlante vs Pachuca,1-1,0-3,0
Erika,Tijuana vs Querétaro,2-1,0-1,0
Erika,Cruz Azul vs América,1-1,4-3,0
Erika,Guadalajara vs Pumas,2-1,3-0,1
Erika,León vs San Luis,2-1,Pendiente,-
Erika,Monterrey vs Tigres,1-1,0-0,1
Erika,Necaxa vs Puebla,2-1,0-1,0
Erika,Santos vs Juárez,1-1,2-1,0
Erika,Toluca vs Atlas,2-1,5-1,1
Geovanni,Atlante vs Pachuca,1-1,0-3,0
Geovanni,Tijuana vs Querétaro,2-1,0-1,0
Geovanni,Cruz Azul vs América,1-2,4-3,0
Geovanni,Guadalajara vs Pumas,2-1,3-0,1
Geovanni,León vs San Luis,2-1,Pendiente,-
Geovanni,Monterrey vs Tigres,2-1,0-0,0
Geovanni,Necaxa vs Puebla,2-1,0-1,0
Geovanni,Santos vs Juárez,2-1,2-1,2
Geovanni,Toluca vs Atlas,2-1,5-1,1
JIMMYLARA,Atlante vs Pachuca,2-1,0-3,0
JIMMYLARA,Tijuana vs Querétaro,2-1,0-1,0
JIMMYLARA,Cruz Azul vs América,1-3,4-3,0
JIMMYLARA,Guadalajara vs Pumas,1-2,3-0,0
JIMMYLARA,León vs San Luis,2-0,Pendiente,-
JIMMYLARA,Monterrey vs Tigres,2-1,0-0,0
JIMMYLARA,Necaxa vs Puebla,1-1,0-1,0
JIMMYLARA,Santos vs Juárez,2-2,2-1,0
JIMMYLARA,Toluca vs Atlas,3-2,5-1,1
Juan Pablo,Atlante vs Pachuca,0-0,0-3,0
Juan Pablo,Tijuana vs Querétaro,1-0,0-1,0
Juan Pablo,Cruz Azul vs América,2-2,4-3,0
Juan Pablo,Guadalajara vs Pumas,2-1,3-0,1
Juan Pablo,Monterrey vs Tigres,1-0,0-0,0
Juan Pablo,Necaxa vs Puebla,2-1,0-1,0
Juan Pablo,Santos vs Juárez,1-1,2-1,0
Juan Pablo,Toluca vs Atlas,2-0,5-1,1
Juan Ramon Galvan,Atlante vs Pachuca,1-2,0-3,1
Juan Ramon Galvan,Tijuana vs Querétaro,2-1,0-1,0
Juan Ramon Galvan,Cruz Azul vs América,1-1,4-3,0
Juan Ramon Galvan,Guadalajara vs Pumas,2-0,3-0,1
Juan Ramon Galvan,León vs San Luis,2-1,Pendiente,-
Juan Ramon Galvan,Monterrey vs Tigres,2-1,0-0,0
Juan Ramon Galvan,Necaxa vs Puebla,2-1,0-1,0
Juan Ramon Galvan,Santos vs Juárez,2-0,2-1,1
Juan Ramon Galvan,Toluca vs Atlas,2-1,5-1,1
Yankee,Atlante vs Pachuca,1-0,0-3,0
Yankee,Tijuana vs Querétaro,2-0,0-1,0
Yankee,Cruz Azul vs América,1-2,4-3,0
Yankee,Guadalajara vs Pumas,2-1,3-0,1
Yankee,Monterrey vs Tigres,2-1,0-0,0
Yankee,Necaxa vs Puebla,2-1,0-1,0
Yankee,Santos vs Juárez,1-2,2-1,0
Yankee,Toluca vs Atlas,3-1,5-1,1
