Usuario,Partido,Predicción,Resultado Real,Puntos
Bryan 2,Cruz Azul vs Atlas,2-1,0-2,0
Bryan 2,Juárez vs América,0-2,1-2,1
Bryan 2,Guadalajara vs Tijuana,1-0,5-2,1
Bryan 2,León vs Monterrey,1-2,2-0,0
Bryan 2,Puebla vs Santos,1-1,3-2,0
Bryan 2,Pumas vs Necaxa,1-0,1-1,0
Bryan 2,Querétaro vs Toluca,1-2,1-2,2
Bryan 2,Tigres vs Atlante,0-1,2-0,0
Bryan Montiel,San Luis vs Pachuca,1-1,1-1,2
Bryan Montiel,Cruz Azul vs Atlas,2-1,0-2,0
Bryan Montiel,Juárez vs América,0-2,1-2,1
Bryan Montiel,Guadalajara vs Tijuana,1-1,5-2,0
Bryan Montiel,León vs Monterrey,0-2,2-0,0
Bryan Montiel,Puebla vs Santos,1-0,3-2,1
Bryan Montiel,Pumas vs Necaxa,1-1,1-1,2
Bryan Montiel,Querétaro vs Toluca,1-2,1-2,2
Bryan Montiel,Tigres vs Atlante,1-1,2-0,0
Claudio,San Luis vs Pachuca,1-2,1-1,0
Claudio,Cruz Azul vs Atlas,2-0,0-2,0
Claudio,Juárez vs América,0-1,1-2,1
Claudio,Guadalajara vs Tijuana,1-0,5-2,1
Claudio,León vs Monterrey,1-2,2-0,0
Claudio,Puebla vs Santos,1-0,3-2,1
Claudio,Pumas vs Necaxa,2-1,1-1,0
Claudio,Querétaro vs Toluca,0-1,1-2,1
Claudio,Tigres vs Atlante,1-0,2-0,1
El inquisidor de Excel,San Luis vs Pachuca,1-2,1-1,0
El inquisidor de Excel,Cruz Azul vs Atlas,2-1,0-2,0
El inquisidor de Excel,Juárez vs América,1-2,1-2,2
El inquisidor de Excel,Guadalajara vs Tijuana,2-1,5-2,1
El inquisidor de Excel,León vs Monterrey,0-1,2-0,0
El inquisidor de Excel,Puebla vs Santos,1-1,3-2,0
El inquisidor de Excel,Pumas vs Necaxa,2-0,1-1,0
El inquisidor de Excel,Querétaro vs Toluca,1-2,1-2,2
El inquisidor de Excel,Tigres vs Atlante,1-1,2-0,0
Innavoeg,San Luis vs Pachuca,1-2,1-1,0
Innavoeg,Cruz Azul vs Atlas,2-1,0-2,0
Innavoeg,Juárez vs América,0-2,1-2,1
Innavoeg,Guadalajara vs Tijuana,1-1,5-2,0
Innavoeg,León vs Monterrey,1-0,2-0,1
Innavoeg,Puebla vs Santos,2-1,3-2,1
Innavoeg,Pumas vs Necaxa,1-0,1-1,0
Innavoeg,Querétaro vs Toluca,0-2,1-2,1
JIMMYLARA,San Luis vs Pachuca,1-1,1-1,2
JIMMYLARA,Cruz Azul vs Atlas,2-1,0-2,0
JIMMYLARA,Juárez vs América,1-3,1-2,1
JIMMYLARA,Guadalajara vs Tijuana,1-3,5-2,0
JIMMYLARA,León vs Monterrey,1-3,2-0,0
JIMMYLARA,Puebla vs Santos,0-2,3-2,0
JIMMYLARA,Pumas vs Necaxa,1-1,1-1,2
JIMMYLARA,Querétaro vs Toluca,1-2,1-2,2
JIMMYLARA,Tigres vs Atlante,2-2,2-0,0
Juan Pablo,San Luis vs Pachuca,1-0,1-1,0
Juan Pablo,Cruz Azul vs Atlas,2-0,0-2,0
Juan Pablo,Juárez vs América,1-3,1-2,1
Juan Pablo,Guadalajara vs Tijuana,2-1,5-2,1
Juan Pablo,León vs Monterrey,2-3,2-0,0
Juan Pablo,Puebla vs Santos,1-0,3-2,1
Juan Pablo,Pumas vs Necaxa,1-1,1-1,2
Juan Pablo,Querétaro vs Toluca,1-2,1-2,2
Juan Pablo,Tigres vs Atlante,2-2,2-0,0
Juan Ramon Galvan,San Luis vs Pachuca,1-1,1-1,2
Juan Ramon Galvan,Cruz Azul vs Atlas,1-1,0-2,0
Juan Ramon Galvan,Juárez vs América,1-2,1-2,2
Juan Ramon Galvan,Guadalajara vs Tijuana,1-1,5-2,0
Juan Ramon Galvan,León vs Monterrey,1-1,2-0,0
Juan Ramon Galvan,Puebla vs Santos,2-0,3-2,1
Juan Ramon Galvan,Pumas vs Necaxa,2-1,1-1,0
Juan Ramon Galvan,Querétaro vs Toluca,1-2,1-2,2
Juan Ramon Galvan,Tigres vs Atlante,2-0,2-0,2
Yankee,San Luis vs Pachuca,1-1,1-1,2
Yankee,Cruz Azul vs Atlas,2-1,0-2,0
Yankee,Juárez vs América,0-2,1-2,1
Yankee,Guadalajara vs Tijuana,2-1,5-2,1
Yankee,León vs Monterrey,1-1,2-0,0
Yankee,Puebla vs Santos,1-0,3-2,1
Yankee,Pumas vs Necaxa,2-1,1-1,0
Yankee,Querétaro vs Toluca,0-3,1-2,1
Yankee,Tigres vs Atlante,2-1,2-0,1
