Usuario,Partido,Predicción,Resultado Real,Puntos
Adrián,San Luis vs Pachuca,1-2,1-1,0
Adrián,Cruz Azul vs Atlas,2-1,0-2,0
Adrián,Juárez vs América,0-2,1-2,1
Adrián,Guadalajara vs Tijuana,2-1,5-2,1
Adrián,Puebla vs Santos,1-2,3-2,0
Adrián,Pumas vs Necaxa,1-1,1-1,2
Adrián,Tigres vs Atlante,2-1,2-0,1
Aldo,San Luis vs Pachuca,1-1,1-1,2
Aldo,Cruz Azul vs Atlas,2-1,0-2,0
Aldo,Juárez vs América,1-2,1-2,2
Aldo,Guadalajara vs Tijuana,2-1,5-2,1
Aldo,León vs Monterrey,1-2,2-0,0
Aldo,Puebla vs Santos,2-1,3-2,1
Aldo,Pumas vs Necaxa,2-1,1-1,0
Aldo,Querétaro vs Toluca,1-2,1-2,2
Aldo,Tigres vs Atlante,2-1,2-0,1
Alex villa,San Luis vs Pachuca,2-2,1-1,1
Alex villa,Cruz Azul vs Atlas,3-1,0-2,0
Alex villa,Juárez vs América,1-3,1-2,1
Alex villa,Guadalajara vs Tijuana,2-1,5-2,1
Alex villa,León vs Monterrey,2-3,2-0,0
Alex villa,Puebla vs Santos,2-1,3-2,1
Alex villa,Pumas vs Necaxa,3-2,1-1,0
Alex villa,Querétaro vs Toluca,2-3,1-2,1
Alex villa,Tigres vs Atlante,1-2,2-0,0
Andrey,San Luis vs Pachuca,1-1,1-1,2
Andrey,Cruz Azul vs Atlas,2-1,0-2,0
Andrey,Juárez vs América,1-2,1-2,2
Andrey,Guadalajara vs Tijuana,2-1,5-2,1
Andrey,León vs Monterrey,1-1,2-0,0
Andrey,Puebla vs Santos,1-2,3-2,0
Andrey,Pumas vs Necaxa,1-1,1-1,2
Andrey,Querétaro vs Toluca,0-2,1-2,1
Andrey,Tigres vs Atlante,2-1,2-0,1
Arturo,San Luis vs Pachuca,2-1,1-1,0
Arturo,Cruz Azul vs Atlas,2-1,0-2,0
Arturo,Juárez vs América,1-2,1-2,2
Arturo,Guadalajara vs Tijuana,2-1,5-2,1
Arturo,León vs Monterrey,2-1,2-0,1
Arturo,Puebla vs Santos,3-0,3-2,1
Arturo,Pumas vs Necaxa,1-1,1-1,2
Arturo,Querétaro vs Toluca,1-1,1-2,0
Arturo,Tigres vs Atlante,1-1,2-0,0
Bryan 2,San Luis vs Pachuca,2-1,1-1,0
