Usuario,Partido,Predicción,Resultado Real,Puntos
Adrián,Atlante vs León,1-2,1-1,0
Adrián,Atlas vs Querétaro,2-1,1-3,0
Adrián,Tijuana vs Pumas,2-1,2-0,1
Adrián,Monterrey vs San Luis,3-1,1-3,0
Adrián,Necaxa vs Cruz Azul,1-1,1-3,0
Adrián,Pachuca vs Guadalajara,2-1,1-1,0
Adrián,Santos vs Tigres,2-1,0-0,0
Adrián,Toluca vs Juárez,3-1,4-0,1
Aldo,Atlante vs León,1-2,1-1,0
Aldo,Atlas vs Querétaro,2-1,1-3,0
Aldo,América vs Puebla,2-0,2-0,2
Aldo,Tijuana vs Pumas,2-1,2-0,1
Aldo,Monterrey vs San Luis,2-1,1-3,0
Aldo,Necaxa vs Cruz Azul,2-1,1-3,0
Aldo,Pachuca vs Guadalajara,1-2,1-1,0
Aldo,Santos vs Tigres,1-2,0-0,0
Aldo,Toluca vs Juárez,2-1,4-0,1
Alex villa,Atlante vs León,1-3,1-1,0
Alex villa,Atlas vs Querétaro,2-1,1-3,0
Alex villa,América vs Puebla,3-1,2-0,1
Alex villa,Tijuana vs Pumas,2-0,2-0,2
Alex villa,Monterrey vs San Luis,3-0,1-3,0
Alex villa,Necaxa vs Cruz Azul,2-1,1-3,0
Alex villa,Pachuca vs Guadalajara,1-2,1-1,0
Alex villa,Santos vs Tigres,1-3,0-0,0
Alex villa,Toluca vs Juárez,3-0,4-0,1
Andrey,Atlante vs León,1-3,1-1,0
Andrey,Atlas vs Querétaro,1-0,1-3,0
Andrey,América vs Puebla,1-1,2-0,0
Andrey,Tijuana vs Pumas,2-2,2-0,0
Andrey,Monterrey vs San Luis,2-0,1-3,0
Andrey,Necaxa vs Cruz Azul,1-2,1-3,1
Andrey,Pachuca vs Guadalajara,1-3,1-1,0
Andrey,Santos vs Tigres,0-1,0-0,0
Andrey,Toluca vs Juárez,2-1,4-0,1
Arturo,Atlante vs León,1-2,1-1,0
Arturo,Atlas vs Querétaro,2-0,1-3,0
Arturo,América vs Puebla,3-0,2-0,1
Arturo,Tijuana vs Pumas,2-1,2-0,1
Arturo,Monterrey vs San Luis,3-1,1-3,0
Arturo,Necaxa vs Cruz Azul,1-1,1-3,0
Arturo,Pachuca vs Guadalajara,0-2,1-1,0
Arturo,Santos vs Tigres,2-2,0-0,1
Arturo,Toluca vs Juárez,3-1,4-0,1
Bryan 2,Atlante vs León,1-1,1-1,2
Bryan 2,Atlas vs Querétaro,2-0,1-3,0
Bryan 2,América vs Puebla,2-1,2-0,1
Bryan 2,Tijuana vs Pumas,2-1,2-0,1
Bryan 2,Monterrey vs San Luis,2-1,1-3,0
Bryan 2,Necaxa vs Cruz Azul,1-2,1-3,1
Bryan 2,Pachuca vs Guadalajara,1-2,1-1,0
Bryan 2,Santos vs Tigres,1-2,0-0,0
Bryan 2,Toluca vs Juárez,1-0,4-0,1
Bryan Montiel,Atlante vs León,1-2,1-1,0
Bryan Montiel,Atlas vs Querétaro,2-1,1-3,0
Bryan Montiel,América vs Puebla,2-0,2-0,2
Bryan Montiel,Tijuana vs Pumas,1-0,2-0,1
Bryan Montiel,Monterrey vs San Luis,2-1,1-3,0
Bryan Montiel,Necaxa vs Cruz Azul,0-2,1-3,1
Bryan Montiel,Pachuca vs Guadalajara,1-2,1-1,0
Bryan Montiel,Santos vs Tigres,1-3,0-0,0
Bryan Montiel,Toluca vs Juárez,2-0,4-0,1
Claudio,Atlante vs León,2-0,1-1,0
Claudio,Atlas vs Querétaro,1-0,1-3,0
Claudio,América vs Puebla,2-0,2-0,2
Claudio,Tijuana vs Pumas,2-1,2-0,1
Claudio,Monterrey vs San Luis,2-1,1-3,0
Claudio,Necaxa vs Cruz Azul,1-2,1-3,1
Claudio,Pachuca vs Guadalajara,0-1,1-1,0
Claudio,Santos vs Tigres,0-1,0-0,0
Claudio,Toluca vs Juárez,2-0,4-0,1
El inquisidor de Excel,Atlante vs León,1-2,1-1,0
El inquisidor de Excel,Atlas vs Querétaro,2-0,1-3,0
El inquisidor de Excel,América vs Puebla,3-1,2-0,1
El inquisidor de Excel,Tijuana vs Pumas,2-1,2-0,1
El inquisidor de Excel,Monterrey vs San Luis,2-0,1-3,0
El inquisidor de Excel,Necaxa vs Cruz Azul,1-2,1-3,1
El inquisidor de Excel,Pachuca vs Guadalajara,1-2,1-1,0
El inquisidor de Excel,Santos vs Tigres,1-2,0-0,0
El inquisidor de Excel,Toluca vs Juárez,2-0,4-0,1
Erika,Atlante vs León,0-2,1-1,0
Erika,Atlas vs Querétaro,1-0,1-3,0
Erika,América vs Puebla,2-0,2-0,2
Erika,Tijuana vs Pumas,0-3,2-0,0
Erika,Monterrey vs San Luis,1-0,1-3,0
Erika,Necaxa vs Cruz Azul,1-2,1-3,1
Erika,Pachuca vs Guadalajara,0-1,1-1,0
Erika,Santos vs Tigres,0-1,0-0,0
Erika,Toluca vs Juárez,2-0,4-0,1
Innavoeg,Atlante vs León,1-1,1-1,2
Innavoeg,Atlas vs Querétaro,2-1,1-3,0
Innavoeg,América vs Puebla,2-0,2-0,2
Innavoeg,Tijuana vs Pumas,1-0,2-0,1
Innavoeg,Monterrey vs San Luis,2-1,1-3,0
Innavoeg,Necaxa vs Cruz Azul,1-2,1-3,1
Innavoeg,Pachuca vs Guadalajara,1-1,1-1,2
Innavoeg,Santos vs Tigres,1-3,0-0,0
Innavoeg,Toluca vs Juárez,2-1,4-0,1
JIMMYLARA,Atlante vs León,3-1,1-1,0
JIMMYLARA,Atlas vs Querétaro,3-1,1-3,0
JIMMYLARA,América vs Puebla,3-0,2-0,1
JIMMYLARA,Tijuana vs Pumas,1-2,2-0,0
JIMMYLARA,Monterrey vs San Luis,2-0,1-3,0
JIMMYLARA,Necaxa vs Cruz Azul,1-2,1-3,1
JIMMYLARA,Pachuca vs Guadalajara,2-2,1-1,1
JIMMYLARA,Santos vs Tigres,1-2,0-0,0
JIMMYLARA,Toluca vs Juárez,2-1,4-0,1
Juan Pablo,Atlante vs León,1-2,1-1,0
Juan Pablo,Atlas vs Querétaro,1-0,1-3,0
Juan Pablo,América vs Puebla,5-1,2-0,1
Juan Pablo,Tijuana vs Pumas,2-1,2-0,1
Juan Pablo,Monterrey vs San Luis,1-1,1-3,0
Juan Pablo,Necaxa vs Cruz Azul,2-2,1-3,0
Juan Pablo,Pachuca vs Guadalajara,1-2,1-1,0
Juan Pablo,Santos vs Tigres,0-2,0-0,0
Juan Pablo,Toluca vs Juárez,2-1,4-0,1
Juan Ramon Galvan,Atlante vs León,1-2,1-1,0
Juan Ramon Galvan,Atlas vs Querétaro,2-0,1-3,0
Juan Ramon Galvan,América vs Puebla,3-1,2-0,1
Juan Ramon Galvan,Tijuana vs Pumas,2-1,2-0,1
Juan Ramon Galvan,Monterrey vs San Luis,2-0,1-3,0
Juan Ramon Galvan,Necaxa vs Cruz Azul,1-1,1-3,0
Juan Ramon Galvan,Pachuca vs Guadalajara,2-1,1-1,0
Juan Ramon Galvan,Santos vs Tigres,1-1,0-0,1
Juan Ramon Galvan,Toluca vs Juárez,2-0,4-0,1
Yankee,Atlante vs León,1-2,1-1,0
Yankee,América vs Puebla,2-1,2-0,1
